noise_type,noise_param,censor_split,clean_frac,noised_rmse_mean,noised_rmse_std,noised_lower_rmse_mean,noised_lower_rmse_std,noised_upper_rmse_mean,noised_upper_rmse_std,noised_corr_mean,noised_corr_std,noised_lower_corr_mean,noised_lower_corr_std,noised_upper_corr_mean,noised_upper_corr_std,finetuned_rmse_mean,finetuned_rmse_std,finetuned_lower_rmse_mean,finetuned_lower_rmse_std,finetuned_upper_rmse_mean,finetuned_upper_rmse_std,finetuned_corr_mean,finetuned_corr_std,finetuned_lower_corr_mean,finetuned_lower_corr_std,finetuned_upper_corr_mean,finetuned_upper_corr_std,n_finetune_samples_mean,n_finetune_samples_std
ynoise,5.0,0.9,0.0,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,,,,,,,,,,,,,0.0,0.0
ynoise,5.0,0.9,0.05,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,0.9972702622413635,0.017359462736708492,1.9189915180206298,0.17378423012330282,0.8478495836257934,0.028406523123688243,0.5337190336411225,0.068681347096387,0.3723295663944114,0.05286936621285162,0.45773429248620684,0.0624897909536235,150.6,0.4898979485566356
ynoise,5.0,0.9,0.1,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,0.9651313185691833,0.02167746222251418,1.7808883666992188,0.20549772058192656,0.8340222716331482,0.048687910659970135,0.5726628743664703,0.08014208117573042,0.3788693367617613,0.06928969828970577,0.4957956601444812,0.08268941925375699,301.4,0.8
ynoise,5.0,0.9,0.2,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,0.9383102655410767,0.0349908508181623,1.7818447589874267,0.2435573031429091,0.8034322142601014,0.023373315545222404,0.6129748195438582,0.07523221446103322,0.3673402012988179,0.13220204265137467,0.5388906336419549,0.0802668347947869,603.2,1.469693845669907
ynoise,5.0,0.9,0.5,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,0.8316669702529907,0.029344513861368264,1.5493974208831787,0.16585490770825492,0.7150433659553528,0.02667487878813867,0.7288910013206864,0.023520834340018972,0.3638205815859558,0.05987711725098221,0.6727713353329802,0.026509981789462175,1508.8,4.166533331199932
ynoise,5.0,0.9,1.0,1.1103536367416382,0.04977147983490634,1.4819104433059693,0.17275707306840163,1.0561402320861817,0.08041133348762379,0.49452704030545513,0.057694598921418844,0.3579448934332857,0.08722139953779745,0.40733085526549245,0.044252002771614576,0.7976564764976501,0.03035445716224968,1.5559589385986328,0.1760322698900782,0.669811737537384,0.04226580984722932,0.7750170004163394,0.023357339812590205,0.3665067839373351,0.0815109092808471,0.7264777892066288,0.026578407619036293,3018.2,7.934733769950949
xnoise,0-0.05,0.9,0.0,2.7563563346862794,0.1790059549690938,0.760892105102539,0.13504295673300595,2.8840343952178955,0.18349141504447614,-0.12199243898627157,0.041551093727781215,0.1617702772178132,0.1543467608015205,-0.11967473556615674,0.024407774391484758,,,,,,,,,,,,,0.0,0.0
xnoise,0-0.05,0.9,0.05,2.6258672714233398,0.12370921794299779,0.7335897564888001,0.08197975472821406,2.7492331504821776,0.1431780336474993,-0.0856408827268664,0.04364922442786218,0.1892801111869642,0.24520133892523005,-0.10327974263811543,0.028724293761616813,1.1079960584640502,0.03404486037230992,2.183131146430969,0.23396141922228456,0.9273709654808044,0.030604378605476427,0.40670071933723567,0.0875488981882571,0.28822895885409716,0.10513573938474464,0.34134838732142736,0.0830485593634335,150.6,0.4898979485566356
xnoise,0-0.05,0.9,0.1,2.7420387268066406,0.22640944752778958,0.7611230432987213,0.1552981967575227,2.8672542572021484,0.21965001818154925,-0.10065018473092524,0.03879107133328564,0.15614838150811697,0.20624178650819794,-0.11033212631069493,0.030700431188755924,0.9884194731712341,0.02263852591863171,1.8480504274368286,0.09879726079836659,0.8484246969223023,0.03944753097674851,0.5534871554492732,0.04253567051159145,0.3406176541314162,0.09743526129875918,0.47728348978348034,0.037085116955317625,301.4,0.8
xnoise,0-0.05,0.9,0.2,2.619378852844238,0.1573760961306576,0.7318009734153748,0.12326136644670205,2.7395466804504394,0.14856253571465905,-0.10202731589218912,0.058009896633892145,0.1339978390941227,0.21189203264544534,-0.10990047925492168,0.04355080261612116,0.9303327918052673,0.03200389625970497,1.707567048072815,0.20160015924573463,0.8030974984169006,0.031583642111541216,0.6308983236953671,0.014916832950519066,0.3655867859590777,0.09898332965211146,0.5658516252229973,0.02413217465329792,603.2,1.469693845669907
