,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
similarity scores,,,,,,
1.0-1.0,0.7239680198,0.0869336424,0.5614382055,0.37185124340000003,0.4787467871,0.6827832031000001
0.8-1.0,0.7283619045,0.0833417929,0.5514847755,0.3280752229,0.46938536140000003,0.6185858126
0.7-0.8,0.7337372537,0.09126563060000001,0.5303586516000001,0.3069764038,0.45949178970000004,0.6043220829
0.6-0.7,0.7188443891,0.0784002788,0.5362046105,0.2977820295,0.4614574719,0.5966264246
0.5-0.6,0.7148277558,0.0664492159,0.5092009843,0.2607001955,0.4014987347,0.5704689025
0.4-0.5,0.7102186585,0.06931181110000001,0.4926936075,0.23915414100000001,0.4141833579,0.5538286849
0.35-0.4,0.7109501296,0.008032681600000001,0.4685420502,0.18064154600000001,0.4158449567,0.49096759100000004
0.3-0.35,0.6855964694000001,0.0066721326,0.4572491437,0.20264674400000002,0.3087098467,0.4739607503
0.25-0.3,0.7050300118,0.0544328466,0.4939529836,0.1994169063,0.3815378292,0.4400401758
0.2-0.25,0.6927200945,0.018775577,0.4258052264,0.18718376720000002,0.3431690159,0.4099267683
0.15-0.2,0.6904654676,-0.0219538196,0.41284014760000004,0.1716151048,0.2750977671,0.3445328461
0.1-0.15,0.6821383352,0.0032870865,0.38395360440000004,0.1044254669,0.13722850990000002,0.18167453320000002
0.05-0.1,0.6573957883,-0.0461171708,0.304506483,0.0155046557,0.12547785720000001,0.12952099250000002
0-0.05,0.6544856163,-0.0961091853,0.32529568870000003,0.0715687555,0.0101433546,-0.0649840205
