,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
y noise level,,,,,,
0.0,0.7239680198,0.0869336424,0.5614382055,0.37185124340000003,0.4787467871,0.6827832031000001
0.2,0.7473953706,0.0959023818,0.5793382105,0.37565511220000003,0.4432016057,0.69726541
0.4,0.7468977876,0.11329564090000001,0.5553894499,0.3655917074,0.5273349759,0.6703873466
0.6000000000000001,0.735435433,0.10471873970000001,0.5436976561,0.3651076648,0.5252389722,0.6664565745000001
0.8,0.7382504005,0.10199764160000001,0.5484511457,0.348607589,0.5418875403,0.6389160625
1.0,0.7425933028,0.1026289363,0.5176270436,0.3486312702,0.5131516557,0.6336472454000001
1.2,0.7367212303,0.103673838,0.5138818248,0.3439160155,0.5420070016,0.620836837
1.4,0.7202381657,0.1061228263,0.5187187678,0.3389926375,0.4893788472,0.5961920577
1.6,0.7298646628000001,0.0962071448,0.5014644088,0.3422420968,0.5380321967,0.5886715868
1.8,0.7247031041,0.1039350634,0.4950171384,0.356816151,0.5142268079,0.5609108958
2.0,0.7207039545,0.0856383997,0.48352764460000003,0.3309548504,0.46928762030000004,0.5471028399
2.2,0.7082594594,0.1467978009,0.44982489750000004,0.3077337945,0.4482624228,0.5356349057
2.4,0.7033981307,0.0808492671,0.4541141778,0.3114562001,0.44719813080000004,0.5176888599
2.6,0.7049681394,0.1271188193,0.4783953859,0.29574003800000004,0.46500873200000004,0.4881615151
2.8,0.7172417407,0.10061532370000001,0.4471869262,0.2985045074,0.4691138583,0.4851752863
3.0,0.6925362127,0.1378181771,0.45908772600000003,0.3103619959,0.4100456512,0.4583587012
3.2,0.7049644363,0.1205664151,0.4312295719,0.2940639541,0.40666815310000004,0.4628250311
3.4,0.6930909353,0.1502372689,0.43603360550000003,0.28061847560000003,0.3945048157,0.4410839735
3.6,0.6862972624,0.1078643291,0.4374904382,0.2920568754,0.3657472109,0.40514209240000004
3.8,0.6948634785000001,0.08315675830000001,0.422932915,0.2811899355,0.3560599815,0.4105317242
4.0,0.6562487416,0.07696353900000001,0.40792869260000003,0.27192817140000003,0.3441464269,0.3856767535
4.2,0.6826121432000001,0.097350006,0.4038525166,0.2580780836,0.3123588479,0.3776916348
4.4,0.6747798691,0.10364118480000001,0.3717409721,0.2498849482,0.3313640625,0.3605234567
4.6,0.6704966678000001,0.07747510540000001,0.3745694456,0.2387364056,0.32180715460000003,0.3318561758
4.8,0.6476354827,0.092386723,0.3773780493,0.2690450256,0.3898892635,0.3730720018
5.0,0.6565261495,0.10480581480000001,0.3587856056,0.26215340600000003,0.2668983744,0.3488257765
