,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
ynoise,,,,,,
0.0,0.9389889801213765,0.7126189449014618,0.8663432481117767,0.8601559313032101,0.7309687283708184,0.9393444457950387
1.0,0.9221177296546165,0.646078172296594,0.7586945070522273,0.7758617907896301,0.5658681540706919,0.842588837974603
2.0,0.8980699242121984,0.5696216244865971,0.6594971347083858,0.6715935749194142,0.4813341610953542,0.7528096292705662
3.0,0.8737650980377853,0.5246188796371423,0.5932339880545855,0.603316607554157,0.42754174394434424,0.697599515761497
4.0,0.8424541997700116,0.4612973252669869,0.5755547859900894,0.5728058445605886,0.3924118384082735,0.6730678125670133
5.0,0.8194108196756791,0.40971086149403585,0.5557296945379859,0.5545597865321426,0.36594481968326614,0.6444687866226781
6.0,0.7961689968919202,0.3620331220632732,0.5321235161681321,0.5294661032260937,0.3445757795995582,0.6162227817042985
7.0,0.787962876298625,0.3364402581098288,0.5137136556566316,0.5061674438773787,0.3285888321493021,0.6034718035009902
8.0,0.7723243366205993,0.31689076066785,0.49407067188305975,0.4896834011831908,0.31795219146419995,0.5786868371353542
9.0,0.751254870167406,0.30599948242625075,0.4810773982812919,0.47733488310954353,0.30999427655733325,0.555002499905405
10.0,0.7290591263015329,0.2669927786947436,0.4655561329333474,0.46176886182163734,0.3035978663907117,0.533609945737676
